id,latitude,longitude,property_type,room_type,bedrooms,availability_90,review_scores_rating,suburb,price,has_kitchen,has_Wifi,has_ACHeat,has_parking,has_selfcheckin,is_shared,num_baths,availability_30,availability days in 60 days,accommodates,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,has_washer
21347099,-37.80603,144.9628,Private room in rental unit,Private room,,0,5,Carlton,65,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1,0,0,2,5,5,5,5,5,TRUE
21221999,-37.81466,144.99032,Entire rental unit,Entire home/apt,1,0,4.79,East Melbourne,60,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,1,0,0,2,4.36,4.86,5,4.71,4.64,TRUE
21225247,-37.81586,144.95443,Entire rental unit,Entire home/apt,2,0,4.63,Melbourne,129,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1,0,0,6,4.25,4.5,4.88,4.88,4.63,TRUE
21233960,-37.80736,144.9467,Entire rental unit,Entire home/apt,1,38,4.79,West Melbourne,149,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,1,20,34,2,4.65,4.83,4.95,4.83,4.8,TRUE
21348197,-37.75783,144.93567,Entire home,Entire home/apt,2,0,4.71,Brunswick West,120,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,1,0,0,4,4.65,4.88,4.88,4.69,4.56,TRUE
21245263,-37.72843,144.9686,Other,Entire home/apt,2,77,4.83,Coburg North,230,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,1,17,47,5,4.59,4.96,4.97,4.8,4.78,TRUE
21348223,-37.85223,145.23395,Other,Private room,,0,4.84,Wantirna,35,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,1,0,0,1,4.84,5,4.94,4.59,4.88,TRUE
21349919,-37.81311,144.94121,Entire rental unit,Entire home/apt,2,0,5,Docklands,140,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1,0,0,4,5,5,5,5,4.5,TRUE
21357503,-38.08073,145.12252,Other,Entire home/apt,2,0,4.95,Carrum,142,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1,0,0,4,4.96,4.96,4.97,4.94,4.95,TRUE
21248202,-37.90459,145.12138,Other,Private room,,0,,Oakleigh East,72,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1,0,0,1,,,,,,TRUE
21357534,-37.78432,144.93744,Private room in rental unit,Private room,,0,4.84,Travancore,62,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,1,0,0,2,4.79,4.81,4.95,4.86,4.72,TRUE
21253552,-37.90934,145.10779,Entire home,Entire home/apt,3,87,4.46,Huntingdale,215,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,2,27,57,6,4.45,4.92,4.8,4.88,4.46,TRUE
21360038,-37.83236,144.9466,Entire home,Entire home/apt,2,0,,Port Melbourne,250,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1,0,0,4,,,,,,TRUE
21253667,-37.86237,144.97335,Entire rental unit,Entire home/apt,,35,4.79,St Kilda,90,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,1,4,13,2,4.78,4.97,5,4.97,4.87,FALSE
21362201,-37.82047,144.94264,Entire rental unit,Entire home/apt,2,0,4.49,Docklands,111,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,2,0,0,5,4.27,4.7,4.57,4.9,4.55,TRUE
21367497,-37.89531,145.01783,Entire home,Entire home/apt,4,79,0,Caulfield South,990,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,3,19,49,8,,,,,,TRUE
21253997,-37.90519,145.00296,Other,Entire home/apt,3,0,,Brighton,220,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,2,0,0,6,,,,,,TRUE
21368639,-37.77626,144.94702,Entire rental unit,Entire home/apt,1,0,4.74,Brunswick West,106,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,1,0,0,2,4.78,4.94,4.97,4.71,4.78,FALSE
21255047,-37.87041,144.97674,Entire rental unit,Entire home/apt,1,0,,St Kilda,300,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1,0,0,2,,,,,,TRUE
21369663,-37.80188,144.99915,Entire home,Entire home/apt,3,0,4.67,Abbotsford,195,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1,0,0,7,4.5,4.83,4.78,4.89,4.67,TRUE
21255822,-37.78183,144.97267,Entire rental unit,Entire home/apt,2,0,4,Carlton North,110,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,1,0,0,2,4,,,,,TRUE
21371089,-37.81564,144.95434,Entire rental unit,Entire home/apt,3,67,4.73,Melbourne,169,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,2,10,37,6,4.65,4.84,4.76,4.89,4.7,FALSE
21256049,-37.86528,144.83247,Entire home,Entire home/apt,2,57,4.87,Altona,120,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,1,0,27,4,4.89,4.96,4.98,4.94,4.88,TRUE
21371346,-37.86782,145.14831,Entire home,Entire home/apt,4,0,5,Mount Waverley,85,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1,0,0,7,5,5,5,5,5,TRUE
21481170,-37.83819,144.99355,Entire rental unit,Entire home/apt,1,54,4.75,South Yarra,128,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,1,13,29,2,4.76,4.71,4.87,4.94,4.67,TRUE
21489697,-37.80912,144.96153,Other,Hotel room,2,89,4,Melbourne,179,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,1,29,59,3,4,4,4,4,4,TRUE
21489744,-37.82068,144.94206,Entire rental unit,Entire home/apt,2,0,4.78,Docklands,99,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,1,0,0,2,4.71,4.8,4.92,4.89,4.78,TRUE
21373596,-37.81947,144.94301,Entire rental unit,Entire home/apt,1,0,4,Docklands,91,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,1,0,0,2,3.79,3.93,4.29,4.79,4.14,FALSE
21491422,-37.85036,145.04358,Other,Entire home/apt,2,0,3,Malvern,124,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1,0,0,4,2,4.5,4,4,3,TRUE
21376258,-37.79815,144.98326,Entire rental unit,Entire home/apt,2,78,4.65,Fitzroy,257,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,1,20,48,6,4.79,4.66,4.87,4.93,4.65,FALSE
21491760,-37.76903,144.97918,Entire rental unit,Entire home/apt,2,0,5,Brunswick East,165,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,2,0,0,2,5,4.67,5,4.67,4.67,TRUE
21384069,-37.79267,144.98341,Private room in rental unit,Private room,,0,5,Fitzroy North,71,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1,0,0,3,5,5,5,4.91,4.95,TRUE
21493891,-37.77889,145.11437,Private room in home,Private room,,89,,Doncaster,70,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1,29,59,1,,,,,,FALSE
21384592,-37.85315,144.97988,Entire rental unit,Entire home/apt,2,37,4.93,Melbourne,264,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,1,2,7,4,4.93,5,5,4.73,4.93,TRUE
21496278,-37.70602,145.01091,Entire home,Entire home/apt,1,0,3.67,Reservoir,80,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,2,0,0,4,3.67,5,4,5,4,TRUE
21385311,-37.75805,144.99463,Entire home,Entire home/apt,2,0,5,Thornbury,50,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1,0,0,5,5,5,5,5,5,TRUE
21503726,-37.82741,144.96336,Private room in rental unit,Private room,,0,4.7,Southbank,35,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1,0,0,1,4.6,4.9,5,4.8,4.8,FALSE
21504913,-37.81558,144.95308,Entire rental unit,Entire home/apt,1,71,4.79,Melbourne,210,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,1,11,41,4,4.73,4.8,4.88,4.97,4.79,TRUE
21385443,-37.79385,145.0314,Other,Entire home/apt,2,0,4.89,Kew,99,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,1,0,0,4,4.93,4.95,4.92,4.83,4.91,TRUE
21386807,-37.72644,144.74729,Private room in home,Private room,,0,4.4,Caroline Springs,58,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1,0,0,1,5,4.8,4.8,4.2,5,TRUE
21505639,-37.85271,144.97972,Entire rental unit,Entire home/apt,2,0,4.67,Melbourne,159,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,2,0,0,6,4.59,4.77,4.86,4.8,4.72,TRUE
21389827,-37.81961,144.94176,Entire rental unit,Entire home/apt,1,0,4.76,Docklands,91,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,1,0,0,2,4.88,4.82,4.94,4.88,4.71,FALSE
21506050,-37.92875,145.25491,Private room in home,Private room,,0,,Rowville,68,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,3,0,0,2,,,,,,TRUE
21390572,-37.82001,144.94376,Entire rental unit,Entire home/apt,2,31,4.6,Docklands,272,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,2,3,14,6,4.32,4.58,4.7,4.89,4.62,TRUE
21506074,-37.8667,144.98901,Entire home,Entire home/apt,2,0,,St Kilda,150,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,1,0,0,5,,,,,,TRUE
21397876,-37.84795,144.71394,Private room in home,Private room,,89,5,Truganina,79,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1,29,59,2,5,5,5,3,4,TRUE
21509084,-37.77742,145.18159,Private room in home,Private room,,0,5,Donvale,59,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1,0,0,2,5,5,5,4.5,5,TRUE
21399238,-37.84643,145.04298,Entire rental unit,Entire home/apt,3,86,4.3,Hawthorn East,400,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,1,26,56,6,4.21,4.74,4.54,4.7,4.38,FALSE
21511177,-37.81619,144.95195,Private room in rental unit,Private room,,0,4.25,Melbourne,58,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1,0,0,3,4.02,4.41,4.77,4.96,4.32,TRUE
21517055,-37.82552,144.95944,Entire rental unit,Entire home/apt,2,0,5,Southbank,165,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,2,0,0,5,5,5,5,5,5,TRUE
21400920,-37.81368,144.95362,Private room in rental unit,Private room,,90,,Melbourne,200,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1,30,60,1,,,,,,FALSE
21518021,-37.82827,144.98955,Other,Entire home/apt,2,0,5,Cremorne,160,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,1,0,0,4,4.97,5,4.97,4.92,4.97,TRUE
