Token,Occurrences
host,357
stay,111
place,79
room,64
airbnb,57
apartment,54
check,41
location,40
good,39
great,39
house,34
bed,31
like,27
kitchen,27
time,25
experience,25
recommend,25
property,25
clean,24
nice,22
communication,21
night,21
need,21
provide,14
parking,12
tram,10
space,10
city,10
close,10
walk,10
melbourne,9
right,9
area,9
definitely,9
come,8
comfortable,8
away,8
home,7
helpful,7
easy,7
